Date,Value
2019-06-19,2308947355054078976
2019-06-20,2150894206131428608
2019-06-21,2273496540427526912
2019-06-22,2135886478087856128
2019-06-23,2359339443954549248
2019-06-24,2231147978244265728
2019-06-25,1993782388001916928
2019-06-26,1941995964043782400
2019-06-27,1891924770955235328
2019-06-28,2124996245385020928
2019-06-29,1875618741988888576
2019-06-30,2034545224811512832
2019-07-01,2014573755273510912
2019-07-02,2250372802870936320
2019-07-03,1900849386205792000
2019-07-04,2037061472952828672
2019-07-05,2042362304742967040
2019-07-06,2008312386428452864
2019-07-07,2118719505402087680
2019-07-08,1885590181710394880
2019-07-09,2099253111607379456
2019-07-10,1997575802159557888
2019-07-11,1788523846085340672
2019-07-12,2094173306907265280
2019-07-13,1866686732621780224
2019-07-14,1943694473098425600
2019-07-15,1770125946387391488
2019-07-16,1817627608816326144
2019-07-17,1936638174848714496
2019-07-18,1882642606080984832
2019-07-19,1880420710834607616
2019-07-20,1966080204064614656
2019-07-21,1992616054190816000
2019-07-22,1883070411830631680
2019-07-23,1989091207649554176
2019-07-24,1861384567013316096
2019-07-25,1911150634269670656
2019-07-26,2071351734544447232
2019-07-27,2019729001445096448
2019-07-28,2039810941139406080
2019-07-29,2059654783085751808
2019-07-30,2039195115487191040
2019-07-31,2083450937424511744
2019-08-01,1995993765673264384
2019-08-02,1956033602761178624
2019-08-03,2002025078315217152
2019-08-04,1945786259228861952
2019-08-05,2088855888740725504
2019-08-06,2057692226735666688
2019-08-07,2018205730555422464
2019-08-08,1923735084087632128
2019-08-09,1782623204542497024
2019-08-10,1966430883413268992
2019-08-11,2110319598646415360
2019-08-12,2070215226694840832
2019-08-13,2118609843198870528
2019-08-14,2287331285679685376
2019-08-15,2126548373735271424
2019-08-16,2075825861051880192
2019-08-17,2030833760521119232
2019-08-18,2082312822891438080
2019-08-19,2095834480417815296
2019-08-20,2064350411299675904
2019-08-21,2047810999322625792
2019-08-22,2096635260034989568
2019-08-23,2138645930777735936
2019-08-24,2143937089105885184
2019-08-25,2122096693754160896
2019-08-26,2083779366319240960
2019-08-27,2132016504099779072
2019-08-28,2129513193028460288
2019-08-29,2033672392188979968
2019-08-30,2043926065521242112
2019-08-31,2036955272417212416
2019-09-01,2167973979012418816
2019-09-02,2135475597173586688
2019-09-03,2110227479680077824
2019-09-04,2084948823941164544
2019-09-05,1948036505943041792
2019-09-06,2054206869264338432
2019-09-07,2090600837128230400
2019-09-08,2220390196386681344
2019-09-09,2169662404610727680
2019-09-10,2197804341288011520
2019-09-11,2255241520053878016
2019-09-12,2214932944789748992
2019-09-13,2262620043637546240
2019-09-14,2534312367785097728
2019-09-15,2399988528181075456
2019-09-16,2429223897122556416
2019-09-17,2553086451877290496
2019-09-18,2648557508612500480
2019-09-19,2488845076611406848
2019-09-20,2495468213560197120
2019-09-21,2538430545792006656
2019-09-22,2474742869977812480
2019-09-23,2479921830403499008
2019-09-24,2339058292137096704
2019-09-25,2007468019706723328
2019-09-26,2160111534762108928
2019-09-27,2381068074018577920
2019-09-28,2380123188600473088
2019-09-29,2283659445917260032
2019-09-30,2289555072271426816
2019-10-01,2561416377703591936
2019-10-02,2269132434303742464
2019-10-03,2413342833363785216
2019-10-04,2452467711493692928
2019-10-05,2375275934519406592
2019-10-06,2455649987133421568
2019-10-07,2529065769232841728
2019-10-08,2567767112272450048
2019-10-09,2420795823209669632
2019-10-10,2397364030898501120
2019-10-11,2361046793810331648
2019-10-12,2384809954605342720
2019-10-13,2535887056717613568
2019-10-14,2423429924489782784
2019-10-15,2425641001232436736
2019-10-16,2363411290111493120
2019-10-17,2484570629209425408
2019-10-18,2379459321026522112
2019-10-19,2375344843853175296
2019-10-20,2391131260042523136
2019-10-21,2415331313080750592
2019-10-22,2484122180173571072
2019-10-23,2474429843789568000
2019-10-24,2763980945461698048
2019-10-25,2701189545758840320
2019-10-26,2378156262805191168
2019-10-27,2485943664207471104
2019-10-28,2605391064734233088
2019-10-29,2964344804227418112
2019-10-30,2925363894864933376
2019-10-31,2839751933232556032
2019-11-01,2713221588130397696
2019-11-02,2916688581040380928
2019-11-03,2941629444844622848
2019-11-04,2817876830870080512
2019-11-05,2787022855211096576
2019-11-06,3006338155655373824
2019-11-07,2909824705209830400
2019-11-08,2634396094779036672
2019-11-09,2790941910251528704
2019-11-10,2762024777635024896
2019-11-11,2822536886662337536
2019-11-12,2816748387137110528
2019-11-13,2812704509787020800
2019-11-14,2719762561851853824
2019-11-15,2708590164450322432
2019-11-16,2706315289485898752
2019-11-17,2758674157997435904
2019-11-18,2554713511908544000
2019-11-19,2650919384563282432
2019-11-20,2502324819097880064
2019-11-21,2565270814138004992
2019-11-22,2536223790733797376
2019-11-23,2517708678247737344
2019-11-24,2586747971662406656
2019-11-25,2613482865454074880
2019-11-26,2533478681944900608
2019-11-27,2577178175155825152
2019-11-28,2509896732243009536
2019-11-29,2609113252704650752
2019-11-30,2573650720517700096
2019-12-01,2628718761960922112
2019-12-02,2618134325725992960
2019-12-03,2585515234573059584
2019-12-04,2560862226919971840
2019-12-05,2564125476111373824
2019-12-06,2530079825214769152
2019-12-07,2582931619337979392
2019-12-08,2510341127166665216
2019-12-09,2537828248199349760
2019-12-10,2536172872852924416
2019-12-11,2522592356490788352
2019-12-12,2554274291767097344
2019-12-13,2650291622314770432
2019-12-14,2571556082002500608
2019-12-15,2588666183798501888
2019-12-16,2598566108028775424
2019-12-17,2513590864936566784
2019-12-18,2529471452164994048
2019-12-19,2240528626946818560
2019-12-20,2341892281339596288
2019-12-21,2332554283419951104
2019-12-22,2448365657105516032
2019-12-23,2309379938354847744
2019-12-24,2314316109823412224
2019-12-25,2336612877770969600
2019-12-26,2335315580043809280
2019-12-27,2568505820886542848
2019-12-28,2585260999689552896
2019-12-29,2512444364914789376
2019-12-30,2568933751747976704
2019-12-31,2602339519946488320
2020-01-01,2635004296330307584
2020-01-02,2761343339442401792
2020-01-03,2835428074538070528
2020-01-04,3003776026002466816
2020-01-05,2812707444703027712
2020-01-06,3034366430700452352
2020-01-07,2831754551676006912
2020-01-08,2660109667840700928
2020-01-09,2841307693754674688
2020-01-10,3028621087574665728
2020-01-11,3253030659250422272
2020-01-12,3073883568401486848
2020-01-13,3057298622123511296
2020-01-14,3446777879647553024
2020-01-15,4220719247669760000
2020-01-16,3691188539646426112
2020-01-17,4163087890921524224
2020-01-18,3910671768711993856
2020-01-19,3707168590864577536
2020-01-20,3906897829857028096
2020-01-21,4007033215195041280
2020-01-22,3991468806818896384
2020-01-23,3915024843075151360
2020-01-24,3609148880923000320
2020-01-25,3429164667084824576
2020-01-26,3875248441171689472
2020-01-27,4253584040135522816
2020-01-28,4086570084901808128
2020-01-29,4488092486780188160
2020-01-30,3598007415254981632
2020-01-31,4316381640143814144
2020-02-01,4232054159502455296
2020-02-02,4266505730976026112
2020-02-03,4093385352477284352
2020-02-04,4171610648070859776
2020-02-05,4739958473430621184
2020-02-06,4742135435868122112
2020-02-07,4618976325843262464
2020-02-08,4733469247866334208
2020-02-09,4644838455765537792
2020-02-10,4711663629109679104
2020-02-11,4786424411004820480
2020-02-12,4703230692593720320
2020-02-13,4811774054535116800
2020-02-14,5003240885782288384
2020-02-15,4858878443412020224
2020-02-16,4605653788272386048
2020-02-17,4119319641398897152
2020-02-18,4398385876852423168
2020-02-19,4239857263652410368
2020-02-20,4005664898088622080
2020-02-21,4261690867495519744
2020-02-22,4067338938083494912
2020-02-23,4186699982138676224
2020-02-24,4242846881634302976
2020-02-25,4060588432775372800
2020-02-26,3627625793987913216
2020-02-27,3988619312591287296
